Model,Feature,MAE,RMSE,MAPE(%),R2,Accuracy(%)
NaivePersistence,PM2.5,10.146815933992437,15.719889546644712,22.4978369848188,0.6818846130228396,77.5021630151812
NaivePersistence,PM10,18.226551288455944,30.007501183570472,26.073426431995227,0.5587619973897271,73.92657356800477
NaivePersistence,CO,0.29306441261994765,0.5677412007661593,7.277446833831346,0.6879840253339435,92.72255316616865
NaivePersistence,CO2,0.35957196307066036,0.6231797892531505,0.08839968441689566,0.8390443447357059,99.9116003155831
GRU,PM2.5,12.785861333796854,18.023707154120608,24.462490782261508,0.5818097139920122,75.53750921773849
GRU,PM10,21.738219359086735,32.82295783512604,26.415103679431475,0.47207931865134534,73.58489632056853
GRU,CO,0.4604688798723185,0.6774207633397585,11.160316362478003,0.5557852106083292,88.839683637522
GRU,CO2,1.2936521249916213,1.525834986046044,0.317847739385818,0.03507255778092322,99.68215226061419
CNN_LSTM,PM2.5,14.279663162386738,18.031935586882316,41.85602784433694,0.5814277907729243,58.14397215566306
CNN_LSTM,PM10,21.883435739165364,30.446752500409502,42.33973308542645,0.5457497239062619,57.66026691457355
CNN_LSTM,CO,1.138404710815807,1.3653403840054874,28.72480266263858,-0.8045041189692226,71.27519733736142
CNN_LSTM,CO2,0.9922638466984289,1.3515755721292688,0.24353327342671185,0.2428878979018615,99.7564667265733
DENSE,PM2.5,15.206986169400126,20.357137488071793,34.432669248072415,0.46651880511201727,65.56733075192759
DENSE,PM10,22.177644507513214,32.66666041702082,30.980046737722546,0.4770950874434299,69.01995326227745
DENSE,CO,0.5743086178045758,0.8179666134034109,14.447070938184877,0.3523398724727417,85.55292906181512
DENSE,CO2,1.3645383410332863,1.6346175942945957,0.3352688971872934,-0.10741871525408686,99.66473110281271
